Sr No,Entry date,Source,Source id,Vertical Name,Organisation Name,Place,State,Tender Type (GeM / Non GeM),TENDER ID,LINK,PUBLISH DATE,Start Date,End Date,Time,Pre Bid Date,Corrigendum Remark,Product Name As per Tender,Product Name As per MarkEn,Bid Qty,Quoted Qty
11,"2026-05-24","Tender247","01/EE/PMSSYPD/2026-27/R1","HVAC","Central Public Works Department","Trivandrum","Kerala","Non GeM","100576294","https://www.tender247.com/auth/tender/100576294/a9a54fe9-ff81-41a9-b797-8074fb0369b6/1003059","N/A","N/A","2026-05-29","N/A","N/A","N/A","c/o administrative block, lecture theatre and academic block including internal and external civil and electrical works like firefighting lift and hvac for iiser campus at vithura, thiruvananthapuram. sh c/o academic block (bw) sh providing services of data entry personnel for office of executive engineer, pmssypd, melethumele and office of architect unit of chief engineer office, cpwd, cgo complex, poonkulam subwork/packages: providing services of data entry personnel for office of executive engineer, pmssypd,cped, melethumele and office of architect unit of chief engineer office ,cpwd, cgo complex , poonkulam","HVAC","1","1"
12,"2026-05-24","Tender247","GEM/2026/B/7439555","Deep Freezer","Employees State Insurance Corporation","Bangalore","Karnataka","Non GeM","99859116","https://www.tender247.com/auth/tender/99859116/b75124aa-bf70-46ff-b0d4-557ea2f4edae/1003059","N/A","N/A","2026-05-23","N/A","N/A","Corrigendum published","corrigendum : supply of - acd solution , diaclon abo d plus reverse grouping , liss coombs gel card , transfer bag , sdp kit , -40 deep freezer chart , -80 deep freezer chart , thermograph chart paper for platelet agitator , tscd wafer - blood bank consumables | quantity - 615","Deep Freezer","615","615"
13,"2026-05-24","Tender247","NIT/04/AE-IV/EE/GNR-I/2026-27","HVAC","Central Public Works Department","Gandhinagar","Gujarat","Non GeM","100576360","https://www.tender247.com/auth/tender/100576360/2d24c921-bec2-4899-a7d2-2e32834190a3/1003059","N/A","N/A","2026-05-28","N/A","N/A","N/A","construction of 150 bedded hospital for esic at kalol, gandhinagar, gujarat. sh: planning, designing and construction of buildings including internal water supply, sanitary installation and drainage, development works like ug sumps, terrace water takns, water treatment plant, sewage treatment plant, effluent treatment plant, rain water harvesting system, internal roads, path ways, parking facilities, filtered and unfiltered water supply lines, strom water drains, external sewerage system, service tranches landscaping horticulture works, internal electrical instalation, fire alarm system, fire fighting system, lifts, sub station, dg sets, ups, hvac system, solar water heating system, audio visual system, stp equipment, mgps, nurse call system, mechanised car parking system etc. and their integration, making fit for occupation, all complete on engineering, procurement and construction basis (epc). subwork/packages: sh: providing services of computer operator in o/o assistant engineer-iv, providing architectural draftsmen for office of architect, cpwd, gandhinagar & providing computer operator for office of chief engineer, cpwd, gandhinagar.","HVAC","1","1"
14,"2026-05-24","Tender247","GEM/2026/B/7569340","Others","State Bank Of India","Lucknow","Uttar Pradesh","GeM","100575339","https://www.tender247.com/auth/tender/100575339/71277f2d-8049-4a43-a27d-c4c37e105604/1003059","21-05-2026","21-05-2026","2026-06-01","N/A","N/A","N/A","supply of - hi wall split ac 2.0 tr 5 star , hi wall split ac 1.5 tr 5 star , additional copper pipe for hi wall split ac , cable for hi wall split ac , drain pipe 25 mm , outdoor stand , stabiliser 5 kva 2tr ac , stabiliser 4 kva for 1.5 or 1 tr ac , 15 litre geyser 5 star , ro water purifier 8 litre , microwave oven 32 litre capacity , 1200 mm bldc ceiling fan , 240 or 250 litre refrigerator - tender for ac works and supply of electrical fittings and fixtures at sbi holiday home pragagraj | quantity - 130","Split AC, Extra refrigerant pipe, Extra cable, Drain pipe, MS","130","130"
15,"2026-05-24","Tender247","03/EE/PMSSYPD/2026-27","HVAC","Central Public Works Department","Trivandrum","Kerala","Non GeM","100576352","https://www.tender247.com/auth/tender/100576352/20d12736-58c5-44bf-b787-a753a8c3437b/1003059","N/A","N/A","2026-05-29","N/A","N/A","N/A","construction of administrative block, lecture theatre and academic block including inetrnal and external civil and electrical works like firefighting lift and hvac for iiser campus at vithura, thiruvananthapuram. sh construction of academic block ( balance work ) sh providing lmv ( 4 wheeler ) inspection vehicle ( toyota etios / swift dzire/ honda amaze or equivalent ) for bonafide government use by executive engineer, pmssy project division, cpwd, thiruvananthapuram. subwork/packages: providing lmv ( wheeler) inspection vehicle ( toyota etios/ swift dzire/ honda amaze or equivalent) for bonafide goverment use by the executive engineer, pmssy project division, cpwd, trivandrum, cpwd, thiruvananthapuram.","HVAC","1","1"
16,"2026-05-24","Tender247","GEM/2026/B/7561223","Deep Freezer","Urban Development Department","Jhansi","Uttar Pradesh","GeM","100575044","https://www.tender247.com/auth/tender/100575044/17fe0c20-18a5-4ae5-8fa1-b04efaf04ccf/1003059","21-05-2026","21-05-2026","2026-06-05","N/A","N/A","N/A","supply of - dead body freezer -  | quantity - 1","GeMARPTS म) खोजी गई ,&-ं.स / Searched","1","1"
17,"2026-05-24","Tender247","GEM/2026/B/7477440","Others","Purvanchal Vidyut Vitaran Nigam Limited","Fatehpur","Uttar Pradesh","GeM","99777719","https://www.tender247.com/auth/tender/99777719/712f303b-bb40-4a00-b2ca-1d8594f7edcf/1003059","27-04-2026","27-04-2026","2026-05-25","N/A","N/A","Corrigendum published","corrigendum : supply of ro water 3 tank per day,maintenance of elelctrical item like led bulb, fan, cooler, switches, cleaning of office and providing of sweeper with cleaning materials,maitenance of furnitures,reparing and maintenance of 6 nos computer systems,reparing and maintenance of 6 nos printers,installation of antivirus in 6 nos computers,refiling and maintence of printers toner,supply and installation of toner parts,supply and installation of 6 nos ups systems, - office maintenance supply and work bid | quantity - 996","Supply of RO Water 3 tank per day, Maintenance of","996","996"
18,"2026-05-24","Tender247","GEM/2026/B/7567118","Deep Freezer","Indian Army","Allahabad","Uttar Pradesh","GeM","100575259","https://www.tender247.com/auth/tender/100575259/d890f591-f57d-4adc-9785-3b3eb9b62f87/1003059","21-05-2026","21-05-2026","01-06-2026","16:30:00","N/A","N/A","supply of - deep freezer marked to is 7872 (under bis scheme 1) (v2) (q2) -  | quantity - 8","बडर का )यूनतम औसत वाष%क टन%ओवर (3 वष0 का)","8","8"
19,"2026-05-24","Tender247","06/EE(E)/JED/Jamnagar/2026-27","HVAC","Central Public Works Department","Jamnagar","Gujarat","Non GeM","100576385","https://www.tender247.com/auth/tender/100576385/ad4e75c2-c65a-4bb9-81ea-04802462472b/1003059","N/A","N/A","2026-05-29","N/A","N/A","N/A","armo of internal ei & fans, pump set, lift, substation equipment, fire fighting & sprinkler system, fire alarm system, hvac system, cctv, lan, ibms & epbax system in office building for customs department at jamnagar for year 2026-27. sh - amc of 250 kva dg set, b check for cummins make dg set.","HVAC","1","1"
20,"2026-05-24","Tender247","GTU2627GSLB00006","Others","Govind Guru Tribal University","Banswara","Rajasthan","Non GeM","100571884","https://www.tender247.com/auth/tender/100571884/58255e96-617f-4d17-8f7c-866edb6bf76d/1003059","N/A","N/A","2026-05-26","N/A","N/A","N/A","supply of `r.o. with cooler and other, fridge 235 litre double door","Others","1","1"
21,"2026-05-24","Tender247","FOR2627GSOB00408","Others","Forest Department","Jodhpur","Rajasthan","Non GeM","100557041","https://www.tender247.com/auth/tender/100557041/88f3f606-2b96-4256-92e3-58a38c26a315/1003059","N/A","N/A","2026-06-02","N/A","N/A","N/A","supply of cooler and exhaust fan.","Others","1","1"
22,"2026-05-24","Tender247","GEM/2025/B/6859576","Others","All India Institute Of Medical Sciences","New Delhi","Delhi","GeM","98636265","https://www.tender247.com/auth/tender/98636265/be95e4d8-ab61-4164-a6ee-e1f273f2d111/1003059","06-11-2025","06-11-2025","2026-06-11","N/A","N/A","Corrigendum published","corrigendum : supply of - low temperature hydrogen peroxide gas plasma sterilizer (q2) -  | quantity - 4","वष* के अनुभव एवं टन%ओवर से एमएसई को छूट 2ा3 है /","4","4"
23,"2026-05-24","Tender247","GEM/2026/B/7408545","Others","Gujarat State Electricity Corporation Limited","Ukai Dam","Gujarat","GeM","99723863","https://www.tender247.com/auth/tender/99723863/10e48229-f3d5-455c-b247-35180ec04087/1003059","24-04-2026","24-04-2026","2026-05-28","N/A","N/A","Corrigendum published","corrigendum : repair, maintenance, and installation of plant systemsequipments (version 2) - wt-5153g - tmd-ii - work of attending leaky tubes, joint replacement and tube nest replacement of lp heaters & gland steam coolers of unit# 3, 4 & 5 - on as & when requi..","अनुबंध अविध /Contract Period","1","1"
24,"2026-05-24","Tender247","GEM/2026/B/7471365","Others","Indian Army","Jammu","Jammu And Kashmir","GeM","99894067","https://www.tender247.com/auth/tender/99894067/00f960c0-3721-44b7-9644-f55b48c4f75f/1003059","30-04-2026","30-04-2026","2026-05-25","N/A","N/A","Corrigendum published","corrigendum : supply of - packing roll for casp plsama 100mmx80m , packing roll for casp plsama 200mmx80m , packing roll for casp plsama 300mmx80m , casp agent special sue for hydrogen peroxide low temperature plasma sterilizer 55-60% 100 ml bott -  | quantity - 72","CASP Agent special sue for hydrogen peroxide low","72","72"
25,"2026-05-24","Tender247","GEM/2026/B/7489272","Others","Delhi State Civil Supplies Corporation Limited","New Delhi","Delhi","GeM","100263839","https://www.tender247.com/auth/tender/100263839/173c9f3d-0d46-449e-83e8-3e6699639d9c/1003059","12-05-2026","12-05-2026","2026-05-27","N/A","N/A","Corrigendum published","corrigendum : supply of - modular cold rooms (q3) -  | quantity - 40","बडर का )यूनतम औसत वाष%क टन%ओवर (3 वष0 का)","40","40"
26,"2026-05-24","Tender247","GEM/2026/B/7531505","Deep Freezer","Indian Army","Jalpaiguri","West Bengal","GeM","100307696","https://www.tender247.com/auth/tender/100307696/08789c63-b34f-474a-94d7-0aca56a48de1/1003059","13-05-2026","13-05-2026","2026-05-25","N/A","N/A","Corrigendum published","corrigendum : supply of - electric ceiling fan (v4) isi marked to is 374 (q2) , taking down carefully ceiling fan , supply and installation commissioning of glass top deep freezer , m and l for point wiring , s and f epoxy powder coated sheet , m and l for concealed sub main wiring - boq misc | quantity - 1617","Taking down carefully Ceiling fan , SITC Deep Freezer, M","1617","1617"
27,"2026-05-24","Tender247","GEM/2026/B/7556287","Deep Freezer","Indian Army","Jodhpur","Rajasthan","GeM","100466435","https://www.tender247.com/auth/tender/100466435/af852ad5-4841-4aa4-8aa5-678a61dbc54a/1003059","18-05-2026","18-05-2026","2026-05-25","N/A","N/A","Corrigendum published","corrigendum : repair and overhauling service - air conditioners; voltas; yes; buyer premises , repair and overhauling service - desert coolers; unbranded; yes; buyer premises , repair and overhauling service - deep freezer; voltas; yes; buyer premises , repair and overhauling service - water dispenser; voltas; yes; buyer premises , repair and overhauling service - roti making machine; unbranded; yes; buyer premises","अनुबंध अविध /Contract Period","1","1"
28,"2026-05-24","Tender247","2026_MMGPA_1304828_1","Centrifuge","Maharashtra Medical Goods Procurement Authority","Mumbai","Maharashtra","GeM","100573088","https://www.tender247.com/auth/tender/100573088/b9aa8bc1-85d5-4d98-8eef-371de6e928ed/1003059","N/A","N/A","2026-06-11","N/A","N/A","N/A","supply of  equipments - ""high end equipments , icp  ms, (with accessories and suitable computer and power backup, crm, total installation arrangement, central cooling system and 5 yr. cmc, flame photometer, digital butyro refractometer, homogenizer, fume hood, flashpoint apparatus, hot air oven (upto 300 degree celsius), muffle furnace, uv cabinet with long & short-wave uv lamps, multifunction shaker, soxhlet extraction unit (closed unit), deep freezer 500 lit, electronic colony counter (imported), membrane filtration apparatus, stomacher, refrigerated centrifuge machine, probe sonicator, vortex mixer, autoclave vertical, split air conditioner (1.5 ton) for instrument section, seriological water bath digital temp, kjeldahl digestion & distillation unit, elisa reader & washer, turbidity meter, refrigerator 600 ml, refrigerator 200 ml, dean & stark apparatus, volatile oil apparatus, so2 apparatus (modified monier williams) , r m value assembly as per is 548 part  i (with 3 nos r m value flask) for lab upgradation(2026-27)","Centrifuge","1","1"
29,"2026-05-24","Tender247","2026_MMGPA_1304815_1","Centrifuge","Maharashtra Medical Goods Procurement Authority","Mumbai","Maharashtra","Non GeM","100573109","https://www.tender247.com/auth/tender/100573109/d95ac7d9-8f40-41b6-865b-6b91d7826670/1003059","N/A","N/A","2026-06-04","N/A","N/A","N/A","supply of  equipments -  alcohol thermometer,  digital thermometer for lab,  neubauers counting chamber,  vdrl rotator/shaker,  vortex mixer, alarm clock, automated coagulometer, biosafety cabinet class ii a2 with thimble ducting, centrifuge (fixed head) table-top 16 tubes. up to 6000 rpm, elisa reader with washer, esr tubes with stand, hot air oven (medium size), hot plate for culture media preparation, incubator (2 medium-sized),  binocular microscopes,  cell counter semi-automatic (3 part) for haematology (essential),  centrifuge tabletop (swing out) with 8 tubes. up to 6000 rpm,  electronic balance up to 3 decimal places,  micro-incinerator for inoculating loops and needles d,  micropipette 0.1- 2l,  micropipette 200- 1000l,  micropipette 50- 200l,  vertical autoclave (for sterilisation) 100l, bunsen burner, deep freezer (-20 deg c), refrigerator 400 litres, microcentrifuge machine (up to 16,000 rpm), micropipette 1- 10l, micropipette 5- 50l, needle destroyer,  multi-channel pipette (octapipette) 200-1000l, slide staining racks for iphl group b(2026-27)","Centrifuge","1","1"
30,"2026-05-24","Tender247","100573476","Others","Post Graduate Government College","Satna","Madhya Pradesh","Non GeM","100573476","https://www.tender247.com/auth/tender/100573476/2f5ade30-9f5f-4879-90e7-a6f465629aa8/1003059","N/A","N/A","2026-06-08","N/A","N/A","N/A","purchase of materials library materials inverter battery, furniture, chair, computer, laptop, printer etc, display board,  ac, refrigerator, cooler, smart board and color mic, for high quality chair,  under autonomous body.","Others","1","1"
31,"2026-05-24","Tender247","GEM/2026/B/7529078","Centrifuge","Department of Purchase And Stores","Mumbai","Maharashtra","GeM","100574892","https://www.tender247.com/auth/tender/100574892/179d0f9f-cd6f-442e-9783-bf75c160f9ea/1003059","21-05-2026","21-05-2026","2026-06-12","N/A","N/A","N/A","supply of - refrigerated centrifuge: maximum speed of 30, 130 x g  17, 500 rpm, with a brushless motor -  | quantity - 1","GeMARPTS म) खोजी गई ,&-ं.स / Searched","1","1"
32,"2026-05-24","Tender247","GEM/2026/B/7539471","Deep Freezer","Indian Council Of Medical Research","Pune","Maharashtra","GeM","100575137","https://www.tender247.com/auth/tender/100575137/581b182d-d16d-483a-b868-4421d72679b5/1003059","21-05-2026","21-05-2026","2026-06-01","N/A","N/A","N/A","supply of - ultra low temperature laboratory deep freezer (q3) -  | quantity - 2","बडर का )यूनतम औसत वाष%क टन%ओवर (3 वष0 का)","2","2"
33,"2026-05-24","Tender247","GEM/2026/B/7475988","Deep Freezer","National Aluminium Company Limited","Angul","Orissa","GeM","100575146","https://www.tender247.com/auth/tender/100575146/3a2e0d32-ccf9-46d1-b6bd-5ee9646f682d/1003059","21-05-2026","21-05-2026","2026-06-11","N/A","N/A","N/A","supply of - deep freezer , double door refrigerator -  | quantity - 6","GeMARPTS म) खोजी गई ,&-ं.स / Searched","6","6"
34,"2026-05-24","Tender247","GEM/2026/B/7567325","Others","Chaudhary Bansi Lal University","Bhiwani","Haryana","GeM","100575273","https://www.tender247.com/auth/tender/100575273/4c05ffd5-f445-4a7e-8c30-16befe7b8de0/1003059","21-05-2026","21-05-2026","2026-06-05","N/A","N/A","N/A","supply of - laboratory refrigerator (v2) (q2) -  | quantity - 1","मूल उपकरण िनमा%ता का औसत टन%ओवर (गत 3 वष1","1","1"
35,"2026-05-24","Tender247","GEM/2026/B/7568910","Deep Freezer","Health And Family Welfare Department","Manendragarh","Chhattisgarh","GeM","100575873","https://www.tender247.com/auth/tender/100575873/f3881f5e-e7a4-4b80-a265-2333c8dba4a3/1003059","21-05-2026","21-05-2026","2026-06-11","N/A","N/A","N/A","facility management services - lumpsum based - supply of death body freezer; supply of death body freezer; consumables to be provided by service provider (inclusive in contract cost)","अनुबंध अविध /Contract Period","1","1"
36,"2026-05-24","Tender247","SAP PR NO. 4400000194","Others","National Fertilizers Limited","Nangal","Punjab","Non GeM","100578357","https://www.tender247.com/auth/tender/100578357/829ff629-49c7-4830-aa84-d74aa1c4c2e4/1003059","N/A","N/A","2026-06-08","N/A","N/A","N/A","manufacturing of acid cooler water","Others","1","1"
37,"2026-05-24","Tender247","CDS-1/2026(1)","Others","Village Panchayat","Idukki","Kerala","Non GeM","100591971","https://www.tender247.com/auth/tender/100591971/2481bdd6-5be1-440c-8ecd-5ffc66a382ad/1003059","N/A","N/A","2026-05-30","N/A","N/A","N/A","purchase of kitchen items-  chips cutting machine, packing machine, stove (power), pan (iron) -30 liters, porridge aluminum,  table - steel (folding type) 2, chair (plastic) 5, steel shovel (large), steel shovel (small), steel pan - large, thrass - electronics -30 kg, baison, steel egg (covered), box, steel shovel (with hole) large, steel shovel (with hole)  small plastic basket - with hole - large, plastic basket -with hole- small,  microwave oven, refrigerator","Others","1","1"
38,"2026-05-24","Tender247","GEM/2026/B/7426345","Centrifuge","Department of Purchase And Stores","Mumbai","Maharashtra","GeM","99573547","https://www.tender247.com/auth/tender/99573547/22fb9dfa-9b33-4860-9eba-9d4be01ec10e/1003059","20-04-2026","20-04-2026","2026-05-29","N/A","N/A","Corrigendum published","corrigendum : supply of - refrigerated centrifuge for general and research purpose (q3) -  | quantity - 1","वष* के अनुभव एवं टन%ओवर से एमएसई को छूट 2ा3 है /","1","1"
